"Goods and services be classified under GST regime From";"HSN (Harmonised System of Nomenclature)";"Services Accounting Code (SAC) ";"Both";"None of the Above";3;"HSN (Harmonised System of Nomenclature) code shall be used for classifying the goods under the GST regime & Services will be classified as per the Services Accounting Code (SAC) "
"Which Tax payable on imports under GST";"CGST";"SGST";"IGST";"UTGST";3;"Imports of Goods and Services will be treated as inter-state supplies and IGST will be levied on import of goods and services into the country"
"Indian GST model has various rate as";"5%";"12%";"18% & 28%";"All of the above";4;" In India GST model has 4 rate structure. They are 5%, 12%, 18% and 28%"
"How will Exports be treated under GST";"CGST";"SGST";"IGST";"Zero Rated Tax";4;"Exports will be treated as zero rated supplies.  No tax will be payable on exports of goods or services, however credit of input tax credit will be available and same will be available as refund to the exporters"
"On which date CGST , IGST & UGST Bill Passed by Loksabha in india";"24th March 2017";"25th March 2017";"27th March 2017";"29th March 2017";4;"On 29th March 2017 CGST , IGST & UGST Bill Passed by Loksabha in india"
"Who can be opt for composition scheme under GST whose";"Turnover upto Rs. 20 lakhs";"Turnover upto Rs. 75 lakhs";"Rs. 100 lakhs";"Rs. 200 lakhs";2;"Small taxpayers with an aggregate turnover in a financial year up to [Rs. 75 lakhs Most of states in india ] shall be eligible for composition levy. Under the scheme, a taxpayer shall pay tax as a percentage of his turnover during the year without the benefit of ITC. The floor rate of tax for CGST and SGST shall not be less than [1%]. A tax payer opting for composition levy shall not collect any tax from his customers"
"Tax payers Who making inter- state supplies or paying tax on reverse charge basis shall be";"Eligible for composition scheme";"Not eligible for composition scheme";"Can Pay 1% Of Total Turnover of previous year as Tax";"None of the Above";2;"Tax payers making inter- state supplies or paying tax on reverse charge basis shall not be eligible for composition scheme"
"Which Government is charging CGST";"Central Government";"State Government";"Both";"None of the above";1;"CGST is levied & collected by Central Government of india"
"IGST Input Tax credit can be utilised sequentially to pay ";"CGST";"SGST";"IGST";"All of the above";4;"IGST Input Tax credit can be utilised sequentially to pay CGST , SGST & IGST"
"Whether the composition scheme will be optional or compulsory";"Optional";"Compulsory";"Mandatory";"None of the Above";1;"Composition scheme is optional under GST Regime"
"Full form of GSTN is";"Goods and Service Tax Nation";"Goods and Service Tax Network";"Goods and Service Tax North";"None of the Above";2;"GSTN stands for Goods and Service Tax Network (GSTN).The GSTN shall provide a shared IT infrastructure and services to Central and State Governments, tax payers and other stakeholders for implementation of GST"
"What are the legislative requirements for introduction of the GST";"CGST Bill";"SGST Bill";"IGST Bill";"All of the Above";4;"Suitable legislation for the levy of GST (Central GST Bill, Integrated GST Bill and State GST Bills) drawing powers from the Constitution would need to be passed by the Parliament and the State Legislatures"
"In India GST was first proposed in the year";2001;2002;2003;2005;2;"In India GST was first proposed in year 2002"
"What is the taxable event under GST";"Supply of goods";"Supply of services";"Supply of goods and/or services";"None of the Above";3;"Supply of goods and/or services.  CGST & SGST will be levied on intra-state supplies while IGST will be levied on inter-state supplies"
"Where is the reverse charge is applicable ";"Only to goods";"Only to services";"Both Goods & Services";"None of the Above";3;"Reverse charge is applicable to Both Goods & Services"
"GST is ultimate borne by";"Wholeseller";"Retailer";"Final consumer";"Manufacturer";3;"The supplier at each stage is permitted to avail credit of GST paid on the purchase of goods and/or services and can set off this credit against the GST payable on the supply of goods and services to be made by him. Thus, only the final consumer bears the GST charged by the last supplier in the supply chain"
"Every E-commerce operator required to collect tax (section 52) are required to file return";"Within 10 days after the end of the month in which collection is made ";"Within 15 days after the end of the month in which collection is made ";"Within 20 days after the end of the month in which collection is made ";"Within 25 days after the end of the month in which collection is made ";1;"Every E-commerce operator required to collect tax (section 52) are required to file return Within 10 days after the end of the month in which collection is made "
"Where is the headquarters of GST council is situated";"New delhi";"Mumbai";"Hyderabad";"Lucknow";1;"The headquarters of GST council is situated in New Delhi"
"Consequences of purchase of goods from unregistered dealers is";"The receiver of goods will be able to get ITC";"The receiver of goods will not be able to get ITC";"The receiver of goods will be able to get Setoff";"None of the Above";2;"The receiver of goods will not be able to get ITC. Further, the recipients who are registered under composition schemes would be liable to pay tax under reverse charge"
"Whether supplies made without consideration will also come within the purview of Supply under GST";"Yes";"No";"Partly True";"None of the Above";1;"Yes only those cases which are specified under Schedule I to the Model GST Law"
"On which date CGST , IGST & UGST Bill introduced in Loksabha in india";"24th March 2017";"25th March 2017";"27th March 2017";"29th March 2017";3;"The Central GST legislations - Central Goods and Services Tax Bill, 2017, Integrated Goods and Services Tax Bill, 2017, Union Territory Goods and Services Tax Bill, 2017 and Goods and Services Tax (Compensation to States) Bill, 2017 were introduced in Lok Sabha on 27th March 2017"
"Who is the chairman of GST council";"President of india";"Prime Minister";"RBI Governer";"Finance Minister";4;"Finance Minister (Arun Jaitley) is the current chairman of GST council"
"Who has power to notify a transaction to be supply of goods and/or services";"Central Government";"State Governmant";"Central or State Government";"GST Council";3;"Central Government or State Government on the recommendation of the GST Council can notify a transaction to be the supply of goods and/or services"
"GST is which type of tax levied on manufacture, sale and consumption of goods and services";"Service tax";"Value added tax";"Central Sales tax";"None of the Above";2;"GST is a value added tax levied on manufacture, sale and consumption of goods and services"
"Every Registered Person deducting tax at source (section 51) are required to file return";"Within 5 days after the end of the month in which deductions is made ";"Within 10 days after the end of the month in which deductions is made ";"Within 15 days after the end of the month in which deductions is made ";"Within 20 days after the end of the month in which deductions is made ";2;"Every Registered Person deducting tax at source (section 51) are required to file return Within 10 days after the end of the month in which deductions is made "
"Can the taxable person under composition scheme claim input tax credit";"Yes";"No";"Upto 1 Lakh Only";"None of the Above";2;"No, taxable person under composition scheme is not eligible to claim input tax credit"
"Can the customer who buys from a taxable person who is under the composition scheme claim composition tax as input tax credit";"Yes";"No";"Upto 2 Lakh Only";"None of the Above";2;"No, customer who buys goods from taxable person who is under composition scheme is not eligible for composition input tax credit because a composition scheme supplier cannot issue a tax invoice "
"Can composition tax be collected from customers";"Yes";"No";"Upto 5000 Only";"None of the Above";2;"No, the taxable person under composition scheme is restricted from collecting tax. It means that a composition scheme supplier cannot issue a tax invoice"
"Every Input Service Distributor are required to file return";"Before 10th of next month ";"Before 13th of next month ";"Before 15th of next month ";"Before 20th of next month ";2;"Every Input Service Distributor are required to file return Before 13th of next month "
"Which state first ratify GST bill in india";"Andhra Pradesh";"Assam";"Telangana";"Bihar";2;"Assam state first ratify GST bill in india"
"GST is a win-win situation for the entire country. It brings benefits to all the stakeholders of industry, Government and the consumer. What are those benefits";"Boost to Make in India initiative";" Mitigation of ill effects of cascading";" Elimination of multiple taxes and double taxation";"All of the above";4;"Above mention all are the benefits of GST"
"How to compute aggregate turnover to determine eligibility for composition scheme";"Taxable and non-taxable supplies Only";"Taxable and non-taxable supplies + Exempt supplies ";"Taxable and non-taxable supplies + Exempt supplies + Exports";"None of the Above";3;"Aggregate Turnover means Value of all supplies (taxable and non-taxable supplies + Exempt supplies + Exports) and it excludes Taxes levied under CGST Act, SGST Act and IGST Act, Value of inward supplies + Value of supplies taxable under reverse charge of a person having the same PAN"
"What are the penal consequences if a taxable person violates the condition and is not eligible for payment of tax under the Composition scheme";"Liable to Pay Tax";"Liable to Pay Tax & Interest";"Liable to Pay Tax , Interest & Penalty";"None of the Above";3;"Taxable person who was not eligible for the composition scheme would be liable to pay tax, interest and in addition he shall also be liable to a penalty equivalent to the amount of tax payable"
"Minimum rate of tax prescribed for composition scheme";"1%";"2%";"5%";"12%";1;"Minimum rate of tax prescribed for composition scheme is 1%"
"Which state first Passed GST bill in india";"Andhra Pradesh";"Assam";"Telangana";"Bihar";3;"Telangana state first Passed GST bill in india"
"Registered Composition Supplier are required to file return";"Within 10 days after the end of each quarter ";"Within 15 days after the end of each quarter ";"Within 18 days after the end of each quarter ";"Within 30 days after the end of each quarter ";3;"Registered Composition Supplier are required to file return Within 18 days after the end of each quarter "
"India has adopt a ";"Single GST";"Dual GST";"Both";"None of the Above";2;"India has adopt a dual GST which will be imposed concurrently by the Centre and States, i.e. Centre and States will simultaneously tax goods and services.  Centre will have the power to tax intra-State sales & States will be empowered to tax services"
"Remission is allowed under Section of GST law";"Section 10";"Section 11";"Section 12";"Section 14";2;"Remission is allowed under Section 11 of GST law"
"Advantage of taking registration in GST is";" Legally authorized to collect tax from his purchasers and pass on the credit of the taxes paid on the goods or services supplied to purchasers or recipients";" Legally recognized as supplier of goods or services";" Proper accounting of taxes paid on the input goods or services which can be utilized for payment of GST due on supply of goods or services or both by the business";"All of the Above";4;"All are the advantages of GST Registration"
"CGST credit has to be first utilized against CGST liability and if any balance is available, same can be utilized against";"CGST";"SGST";"IGST";"UTGST";3;"CGST credit has to be first utilized against CGST liability and if any balance is available, same can be utilized against IGST"
"The Central Board of Excise and Customs (CBEC) announced that every year will be considered as GST Day on";"Jan-01";"Apr-01";"Jul-01";"Sep-01";3;"The Central Board of Excise and Customs (CBEC) announced that every year will be considered as GST Day on July 01"
"Mr A Does not have GST registration. Can Mr A claim ITC and collect tax";"Yes";"No";"Upto Rs 1 Lakh";"None of the Above";2;"Unregisted Dealer can not get any ITC of GST"
"Calculate total price charged by A From B from the following information:
Value charged for supply of goods/ services : 20,000
GST rate is 18%";20000;23600;24308;25000;2;"Value charged for supply of goods/ services : 20,000 Add CGST : 9% = 1800  Add SGST 9% = 1800   =  20000+1800+1800= 23600"
"Mr X Business Turnover exceeds Rs 20 Lakhs on 6th July 2017 & He applied for registration under GST on same day. What will be Registration date for Business of Mr X";"5th July 2017";"10th July 2017";"4th Aug 2017";"5th Aug 2017";1;"Where the application for registration has been submitted within thirty days from the date on which the person becomes liable to registration, the effective date of registration shall be date of his liability for registration"
"A special purpose vehicle has been launched to cater the needs of GST is";"GSTM";"GSTN";"GSTR";"GSTS";2;"A special purpose vehicle has been launched to cater the needs of GST is Goods and Service Tax Network (GSTN)"
"SGST has to be first utilized against SGST liability and if any balance is available, same can be utilized against";"IGST";"SGST";"CGST";"UTGST";3;"SGST has to be first utilized against SGST liability and if any balance is available, same can be utilized against IGST"
"Mr Y Business exceeds Rs 20 Lakhs on 8th July 2017 & He applied for registration under GST on 20th July 2017. What will be Registration date for Business of Mr Y";"8th July 2017";"9th July 2017";"4th Aug 2017";"5th Aug 2017";1;"Where the application for registration has been submitted within thirty days from the date on which the person becomes liable to registration, the effective date of registration shall be date of his liability for registration"
"Mr Shambhu Business Turnover exceeds Rs 20 Lakhs on 8th July 2017 .He applied for registration under GST on 12th Aug 2017 & Registration granted by GST Department on 15th Aug 2017. What will be Registration date for Business of Mr Shambhu";"8th July 2017";"12th Aug 2017";"15th Aug 2017";"20th Aug 2017";3;"Where an application for registration has been submitted by the applicant after thirty days from the date of his becoming liable to registration, the effective date of registration shall be the date of grant of registration"
"IGST has to be first utilized against IGST liability and if any balance is available, same can be utilized against";"IGST";"SGST";"UTGST";"CGST";4;"IGST has to be first utilized against IGST liability and if any balance is available, same can be utilized against CGST"
"What does N stands for in HSN";"Nationalization";"Nature";"Nomenclature";"Nomination";3;"N stand for Nomenclature in HSN .HSN - Harmonized System of Nomenclature. HSN code will be used for classifying under the GST regime"
"An invoice has to be issued, for the supply of goods";"When the recipient has collected the goods";"When the recipient has received the goods";"Both";"None of the above";1;"An invoice has to be issued, for the supply of goods When the recipient has collected the goods"
"IGST has to be first utilized against IGST liability and if any balance is available, same can be utilized against CGST and if still any balance is available same can be utilized against";"IGST";"SGST";"UTGST";"CGST";2;"IGST has to be first utilized against IGST liability and if any balance is available, same can be utilized against CGST and if still any balance is available same can be utilized against SGST"
"Under GST Law Goods means";"every kind of movable property ";" every kind of movable property other than money and securities ";"every kind of movable property other than money and securities but includes actionable claim, growing crops, grass and things attached to or forming part of the land which are agreed to be severed before supply or under a contract of supply";"None of the Above";3;"Under GST Law Goods means every kind of movable property other than money and securities but includes actionable claim, growing crops, grass and things attached to or forming part of the land which are agreed to be severed before supply or under a contract of supply"
"Which persons are not liable to take a Registration under the Model GST Law";"Who supply goods";"Whose aggregate turnover exceeds threshold limit ";"Who provide services";"Agriculturist ";4;"Agriculturist are not liable to take a Registration under the Model GST Law"
"Refund not allowed Under GST";"zero rated supplies made without payment of tax";"goods exported out of India are subjected to export duty";"if the supplier of goods or services or both avails of drawback in respect of central tax or claims refund of the integrated tax paid on such supplies";"Both 2 & 3";4;"Refund not allowed Under GST for cases mention in option 2 & 3. For zero rated supplies made without payment of tax refund is allowed under first proviso"
"In which cases registration is not compulsory";"Whose aggregate turnover not exceeds threshold limit (i.e 10 Lakhs)";"Persons making any inter-State taxable supply";"Non-resident taxable persons";"Input service distributor";1;"the following categories of persons shall be required to be registered compulsorily irrespective of the threshold limit : persons making any inter-State taxable supply, casual taxable persons,  persons who are required to pay tax under reverse charge,non-resident taxable persons ,input service distributor & every electronic commerce operator"
"What is the time limit for taking a Registration under Model GST Law";"within 15 days from the date on which he becomes liable to registration";"within 30 days from the date on which he becomes liable to registration";"within 45 days from the date on which he becomes liable to registration";"within 60 days from the date on which he becomes liable to registration";2;"Any person should take a Registration, within 30 days from the date on which he becomes liable to registration, in such manner and subject to such conditions as may be prescribed"
"Compute the aggregate turnover of Mr X from the following given Information :
Taxable Supplies - 5 Lakh
Non Taxable supplies - 2 Lakhs
CGST Paid - 1 Lakhs
Exempt Supplies - 3 Lakhs
Exports - 2 Lakhs
SGST Paid - 1 Lakhs";"12 Lakhs";"13 Lakhs";"14 Lakhs";"15 Lakhs";1;"Aggregate Turnover means Value of all supplies (taxable and non-taxable supplies + Exempt supplies + Exports) and it excludes Taxes levied under CGST Act, SGST Act and IGST Act, Value of inward supplies + Value of supplies taxable under reverse charge of a person having the same PAN. CGST & SGST Paid will be excluded in this question"
"Coal comes under which rate Structure";"5%";"12%";"18%";"28%";2;"Coal comes under 12% rate Structure"
"A person availing composition scheme during a financial year crosses the turnover of Rs.75 lakhs/50 lakhs during the course of the year i.e. say he crosses the turnover of Rs.75 lakhs/50 lakhs in October?  Will he be allowed to pay tax under composition scheme for the remain of the year i.e. till 31st March";"Yes";"No";"Upto Next 75/50 Lakhs";"None of the Above";2;"No . The option to pay tax under composition scheme lapses  from the day on which his aggregate turnover during the financial year exceeds the specified limit (Rs. 75 lakhs / Rs. 50 lakhs)"
"Which section of the CGST Act, 2017 states Interest on delayed refunds ";"Section 52";"Section 56";"Section 57";"Section 58";2;"Section 56 of the CGST Act, 2017 states that if any tax ordered to be refunded under section 54 is not refunded within sixty days from the date of receipt of application interest at such rate not exceeding six per cent"
"Mr X doing Business in Punjab , UP , Maharashtra then Mr X can get single registration of all business in";"Punjab ";"UP";"Maharashtra";"All of the Above";4;"Every person who is liable to take a Registration will have to get registered separately for each of the States where he has a business operation and is liable to pay GST. Hence Mr X is liable to take separate registration in all three states."
"Union territory means the territory of";" the Andaman and Nicobar Islands";" Dadra and Nagar Haveli";" Daman and Diu";"All of the Above";4;"Union territory means the territory of  the Andaman and Nicobar Islands , Lakshadweep, Dadra and Nagar Haveli , Daman and Diu &  Chandigarh"
"Section 56 of the CGST Act, 2017 states that if any tax ordered to be refunded under section 54 is not refunded within -- then interest at such rate not exceeding six per cent";"30 days from the date of receipt of application";"45 days from the date of receipt of application";"60 days from the date of receipt of application";"90 days from the date of receipt of application";3;"Section 56 of the CGST Act, 2017 states that if any tax ordered to be refunded under section 54 is not refunded within sixty days from the date of receipt of application interest at such rate not exceeding six per cent"
"Which are the Special Category States in which the turnover limit for Composition Levy for Central tax and State tax purpose shall be Rs. 50 lakhs";"ASSAM ";"MANIPUR";"SIKKIM";"All of the Above";4;"Composition scheme is a scheme for payment of GST available to small taxpayers whose aggregate turnover in the preceding financial year did not cross Rs. 75 lakhs.  In the case of the following States, the limit of turnover is Rs. 50 lakhs:-Arunachal Pradesh, Assam, Manipur , Meghalaya ,Mizoram, Nagaland, Sikkim, Tripura & Himachal pradesh "
"When will a person Pay tax opting for composition scheme";"Monthly basis ";"Quarterly basis ";"Half -Yearly basis";"Yearly basis";2;"A person opting for composition levy will have to pay tax on quarterly basis before 18th of the month succeeding the quarter during which the supplies were made"
"Section --- of the CGST Act, states that every registered person is required to self-assess the taxes payable under this Act and furnish a return for each tax period";"Section 52";"Section 56";"Section 59";"Section 58";3;"Section 59 of the CGST Act, states that every registered person is required to self-assess the taxes payable under this Act and furnish a return for each tax period"
"Mr Y has opted for composition scheme under GST. He paid GST as Rs 10,000 .What is the total Input Tax Credit he Will get";10000;1200;1800;"Nil";4;" A taxable person opting to pay tax under the composition scheme is out of the credit chain.  He cannot take credit on his input supplies"
"Can supplier of Services opt for composition levy under GST";"Yes";"No";"No, but only supplier of restaurant services can opt";"None of the Above";3;"Supplier of Services Can't opt for composition levy under GST Except supplier of restaurant services"
"A registered person has excess ITC of Rs 10, 000/- in his last VAT return for the period immediately preceding the appointed day. Under GST he opts for composition scheme. Can he carry forward the aforesaid excess ITC to GST";"Yes";"No";"Upto Rs 5000";"None of the Above";2;" The registered person will not be able to carry forward the excess ITC of VAT to GST if he opts for composition scheme"
"Assessment means determining tax liability under the CGST Act,2017 and includes ";"Self & Summary Assessment";"Provisional & Best Judegement Assessment";"Re-assessment";"All of the Above";4;"Assessment means determining tax liability under the CGST Act,2017 and includes Mentioned in option 1 to 3"
"Two or more individual supplies of goods or services, or any combination therof, made in conjuction with each other by a taxable person for a single price called as";"Intra-state supplies";"Inter-state supplies";"Mixed supplies";"None of the Above";3;"Two or more individual supplies of goods or services, or any combination therof, made in conjuction with each other by a taxable person for a single price called as Mixed supplies"
"A person paying tax under composition levy, withdraw voluntarily from the scheme?  If so, how? ";"GST CMP-01";"GST CMP-02";"GST CMP-03";"GST CMP-04";4;"A person paying tax under composition levy, Can withdraw voluntarily from the scheme by submitting Duly signed & verify Form GST CMP-04"
"Audit under GST can be";"General Audit";"Special Audit";"Both General & Special Audit";"None of the Above";3;"Audit under GST can be General Audit & Special Audit"
"Manufacturers have to pay Certain percentage as tax under composition scheme of total turnover is";"1%";"2%";"5%";"None of the Above";2;"Traders who have below Rs 75 lakh turnover will have to pay 1 per cent tax, manufacturers will have to pay 2 per cent while restaurant businesses will have to pay 5 per cent if they opt to go for the Composition Scheme under GST"
"Section 56 of the CGST Act, 2017 states that if any tax ordered to be refunded under section 54 is not refunded within sixty days from the date of receipt of application interest at such rate not exceeding ";"5% p.a";"6% p.a";"8% p.a";"10% p.a";2;"Section 56 of the CGST Act, 2017 states that if any tax ordered to be refunded under section 54 is not refunded within sixty days from the date of receipt of application interest at such rate not exceeding 6 % p.a"
"Which of the following tax Subsumed in GST ";"Income Tax";"Service Tax";"Wealth Tax";"Corporation Tax";2;"GST is abolished some Indirect taxes . Service tax one of them now subsumed in GST"
"GST is a kind of tax";"Direct";"Indirect";"Depend upon goods & service";"None of the Above";2;"GST is a indirect tax in nature"
" Section -- of the CGST Act, 2017 states that The Commissioner or any officer authorised by him, by way of a general or a specific order, may undertake General audit of any registered person for such period, at such frequency and in such manner as may be prescribed";"Section 52";"Section 56";"Section 65";"Section 58";3;" Section 65 of the CGST Act, 2017 states that The Commissioner or any officer authorised by him, by way of a general or a specific order, may undertake General audit of any registered person for such period, at such frequency and in such manner as may be prescribed"
"Which constitutional amendment done to pass the GST bill";"101st";"120th";"115th";"125th";1;"101st constitutional amendment done to pass GST bill"
"Which of the main motive to Introduce GST in india";"To increase government revenue";"To bring Tax uniformity in the countary";"To replace all indirect tax";"None of the Above";2;"Main motive to Introduce GST in india to bring Tax uniformity in the countary"
" The audit needs to be completed within a period of --- from the date of commencement of the audit, but a further extension for a period of six months may be provided by the Commissioner for the reasons recorded in writing";"3 months";"4 months";"6 months";"9 months";1;" The audit needs to be completed within a period of three months from the date of commencement of the audit, but a further extension for a period of six months may be provided by the Commissioner for the reasons recorded in writing"
"GST is levied on";"Manufacturer";"Retailer";"Consumer";"All of the above";4;"GST is a indirect tax which is cultimately collect on last point of sale. GST is passes till final consumer."
"Supply includes which of the following under GST";"Goods";"Services";"Goods and/or Services";"Good & services";3;"Supply includes Goods and/or Services under GST"
"A report of Special audit signed and certified by the appointed Chartered Accountant or Cost Accountant is required to be submitted within-- days although this period can be further extended to 90 days";60;90;120;150;2;"A report of audit signed and certified by the appointed Chartered Accountant or Cost Accountant is required to be submitted within 90 days although this period can be further extended to 90 days"
"What are the different types of supplies covered under the definition of Supply";"Supplies made with consideration";"Supplies covered under Schedules";"Supply made without consideration";"All of the above";4;"Above mention all are types of supply covered under GST"
"Who is responsible to pay the GST";"Person Supplying goods";"Person Receiving goods";"Both";"None of the Above";3;"Both ( Who is supplying & who is receiving) person are responsible to pay GST"
"Inspection means, careful";"Examination";"Scrutiny";"Examination or Scrutiny";"None of the Above";3;"Inspection means, careful examination or scrutiny"
"The maximum rate prescribed under IGST is";"12%";"18%";"20%";"28%";4;"The maximum rate prescribed under IGST is 28%"
"Which of the following taxes leviable on an intra-State transaction";"CGST";"SGST";"BOTH CGST & SGST";"IGST";3;"Both CGST & SGST is leviable on an intra-State transaction"
" The audit needs to be completed within a period of three months from the date of commencement of the audit, but a further extension for a period of --- may be provided by the Commissioner for the reasons recorded in writing";"3 months";"4 months";"6 months";"9 months";3;"The audit needs to be completed within a period of three months from the date of commencement of the audit, but a further extension for a period of six months may be provided by the Commissioner for the reasons recorded in writing"
"Which of the following mode can be used for payment under GST";"Common Accounting Codes";"Electronic Payments";"Payment Through Challan";"All of the above";4;"Above mention all three mode can be used for payment under GST"
"What are the supplies to which the reverse charge mechanism could be applied";"Inward Supply of Goods/Services";"Outward Supply of Goods/Services";"Both of above";"None of the Above";1;"On inward Supply of Goods/Services reverse charge mechanism could be applied"
"A prior notice of not less than -- working days will be sent to the registered person before the General audit is conducted";10;12;15;20;3;"A prior notice of not less than 15 working days will be sent to the registered person before the General audit is conducted"
"Assume there is increase in tax rate from 20% to 28% w.e.f. 1.5.2017. Which of the following rates will be applicable when invoice is issued after change in rate of tax in May 2017 but payment is received and services provided in April 2017";"5%";"20%";"24%";"28%";2;"20 % rates will be applicable when invoice is issued after change in rate of tax in May 2017 but payment is received and services provided in April 2017"
"GST contract is won by";"Wipro ";"TCS";"Infosys";"Microsoft";3;"Goods and Services Tax Network (GSTN) is a non-Government, private limited company. It was incorporated on March 28, 2013.The Company has been set up primarily to provide IT infrastructure and services to the Central and State Governments, tax payers and other stakeholders for implementation of the Goods and Services Tax (GST)."
"When can the transaction value be rejected for computation of value of supply";"When the buyer and seller are related or price is not the sole consideration";"When the buyer and seller are related and price is not the sole consideration";"It can never be rejected";"When the goods are sold at very low margins";1;"When the buyer and seller are related or price is not the sole consideration transaction value can be rejected"
"A report of audit signed and certified by the appointed ---- is required to be submitted within 90 days although this period can be further extended to 90 days";"Chartered Accountant";"Cost Accountant";"Chartered Accountant or Cost Accountant";"None of the Above";3;"A report of audit signed and certified by the appointed Chartered Accountant or Cost Accountant is required to be submitted within 90 days although this period can be further extended to 90 days"
"The value of supply of goods and services shall be on the";"Transaction Value";"MRP";"Market Value";"None of the Above";1;"The value of supply of goods and services shall be on the transaction value"
"What is Integrated Goods and Services Tax";"Tax imposed on value additions to exports";"Tax imposed on interstate trade";"Tax imposed on imported goods and services";"Tax on international trade";2;"The inter-State seller would pay IGST on the sale of his goods to the Central Government after adjusting credit of IGST, CGST and SGST on his purchases (in that order). The exporting State will transfer to the Centre the credit of SGST used in payment of IGST. The importing dealer will claim credit of IGST while discharging his output tax liability (both CGST and SGST) in his own State. The Centre will transfer to the importing State the credit of IGST used in payment of SGST"
"The Central Goods and Services Tax Act, 2017 deals with the provisions of Inspection, Search, Seizure and Arrest under Chapter";"X of the Central Goods and Services Tax Act, 2017";"XI of the Central Goods and Services Tax Act, 2017";"XII of the Central Goods and Services Tax Act, 2017";"XIV of the Central Goods and Services Tax Act, 2017";4;"Chapter XIV of the Central Goods and Services Tax Act, 2017 deals with the provisions of Inspection, Search, Seizure and Arrest"
"Which of the following are allowed as deduction from the transaction value";"Packaging charges";"Discount offer to customers";"Amount paid by customer on behalf of the supplier";"Freight charges";2;"Discount offer to customers can be deducted from transaction value"
