"Any person aggrieved by the order of the National Company Law Tribunal may make an appeal to ���..";" Debt Recovery Tribunal";"High Court.";"Supreme Court";"National Company Law Appellate Tribunal";4;"Answer: 4"
"What is the minimum punishment that may be imposed on a director of the corporate debtor who has undertaken a transaction after the insolvency commencement date to defraud the creditors?";"Imprisonment for three years or fine of Rs.1 lakh or both.";"Imprisonment for one year or fine of Rs.1 lakh or both.";"Imprisonment for three years or fine of Rs.5 lakh or both.";"Imprisonment for three years or fine of Rs.1 lakh.";2;"Answer: 2"
"The term of the office of Chairperson of the Insolvency and Bankruptcy Board of India is �..";"5 years or till he attains the age of 65 years, whichever is earlier";"5 years or till he attains the age of 60 years, whichever is earlier";"5 years";"3 years";1;"Answer: 1"
"Who makes model bye-laws to be adopted by Insolvency Professional Agencies?";"Insolvency and Bankruptcy Board of India";"National Company Law Tribunal";"Ministry of Corporate Affairs";"Governing Board of the Insolvency Professional Agency";1;"Answer: 1"
"An appeal from an order of the Debt Recovery Tribunal may be be filed before ��";"High Court having jurisdiction.";"Supreme Court.";"Debt Recovery Appellate Tribunal";") Debt Recovery Appellate Tribunal. d) Insolvency and Bankruptcy Board of India.";3;"Answer: 3"
"A debtor / creditor who provides false information in insolvency resolution process of an individual invites a maximum punishment of ����";"imprisonment for one year or fine of Rs.5 lakh or both";"imprisonment for three years or fine of Rs.1 lakh or both";" imprisonment for one year or fine of Rs.1 lakh or both";"imprisonment for three years or fine of Rs.1 lakh.";1;"Answer: 1"
"The provisions of which of the following apply to the proceedings before a special court under the Insolvency and Bankruptcy Code, 2016?";"the Code of Criminal Procedure, 1973";"the Indian Penal Code, 1860";"the Indian Penal Code, 1860";"the Civil Procedure Code, 1908";1;"Answer: 1"
"A financial creditor needs to file an application for initiation of corporate insolvency resolution process in Form �.. appended to the Insolvency and Bankruptcy (Application to Adjudicating Authority) Rules, 2016.";"Form 2";"Form 1";"Form 3";"Form 4";2;"Answer: 2"
"An operational creditor desirous of initiating a corporate insolvency resolution process needs to deliver to the corporate debtor a demand notice in Form �.. appended to the Insolvency and Bankruptcy (Application to Adjudicating Authority) Rules, 2016?";"Form 2";"Form 3";"Form 1";"Form 6";2;"Answer: 2"
"A corporate applicant shall send a copy of the application in Form 6 appended to the Insolvency and Bankruptcy (Application to Adjudicating Authority) Rules, 2016 to the registered office of the Corporate debtor by ��";"Speed Post";"courier";"E-mail";"By hand";1;"Answer: 1"
"A corporate applicant is required to obtain a written communication in Form 2 appended to the Insolvency and Bankruptcy (Application to Adjudicating Authority) Rules, 2016 from the proposed interim resolution professional stating that he ��";"agrees to accept the appointment.";"refuses to accept the appointment.";"agrees to accept the appointment subject to certain conditions.";"agrees to accept the appointment jointly with another insolvency professiona";1;"Answer: 1"
"An operational creditor shall pay a fee Rs�. along with an application for initiation of corporate insolvency resolution process.";25000;15000;5000;2000;4;"Answer: 4"
"The public announcement regarding initiation of corporate insolvency resolution process may not be made ����";"in newspapers";"on the website of the corporate debto";"on the website designated by the Insolvency and Bankruptcy Board of India.";"on the website designated by the Insolvency and Bankruptcy Board of India.";4;"Answer: 4"
"Which of the following cannot be used by a financial creditor to prove existence of a debt under corporate insolvency resolution process?";") an order of a court or tribunal that has adjudicated upon the non-payment of a debt";"a contract for the supply of goods and services with corporate debtor";" a financial contract supported by financial statements as evidence of the debt.";" the records available with an information utility.";2;"Answer: 2"
"Who convenes the meeting of committee of creditors?";"the financial creditor with the largest amount of claim";"the Managing Director of the Corporate Debtor";"the resolution professional";"the applicant";3;"Answer: 3"
"Which of the following is true about sale of assets by a resolution professional during corporate insolvency resolution process?";"The resolution professional can sell any asset with the approval of the committee of creditors.";"The resolution professional can sell only unencumbered assets with the approval of the committee of creditors.";"The resolution professional can sell unencumbered assets, not exceeding 10% of the claims admitted, with the approval of committee of creditors";"The resolution professional cannot sell any asset.";3;"Answer: 3"
"The Registered Valuers appointed by the Resolution Professional are required to estimate the liquidation value on the basis of ��";"physical verification of assets of the corporate debtor.";" records of the corporate debtor.";"records of the information utilities";" records with Depositories.";1;"Answer: 1"
"A resolution applicant shall endeavor to submit the resolution plan �.";"within 30 days before the expiry of the maximum period permitted for corporate insolvency resolution process";"within 30 days of the first meeting of committee of creditors.";"by the time line set by the committee of creditors";"by the timeline set by the resolution professional.";1;"Answer: 1"
"A person proposed to be registered as an insolvency professional agency must have a minimum net worth of �..";"Rs.5 crore.";"Rs.10 crore.";"Rs.2 crore.";"Rs.1 crore.";2;"Answer: 2"
"In case the application for registration of an insolvency professional agency is having some defect, the Insolvency and Bankruptcy Board of India may:";"reject the application";"give additional time to the applicant to remove such defects";"refer the application to National Company Law Tribunal.";"Grant a provisional registration subject to correcting such defects";2;"Answer: 2"
"The notice of receipt of an application for surrender of registration by an insolvency professional agency shall be published by the Insolvency and Bankruptcy Board of India on its website within -- days of its receipt.";2;5;7;10;3;"Answer: 3"
"The appeal against an order of the Insolvency and Bankruptcy Board of India suspending the registration granted to an insolvency professional agency may be preferred to �..";"National Company Law Tribunal";"National Company Law Appellate Tribunal";"High Court having jurisdiction";"Supreme Court";2;"Answer: 2"
"The governing board of an insolvency professional agency may amend its bye-laws by a resolution passed by votes being not less than � times the number of votes, if any, cast against the resolution.";2;3;4;5;2;"Answer: 2"
"Which of these is not a mandatory committee to be formed by the governing board of an insolvency professional agency under the model bye-laws?";"Risk management committee";"advisory committee";"grievance redressal committee";"monitoring committee";1;"Answer: 1"
"In case of application for enrollment of a professional member has some deficiency, the insolvency professional agency may �.";"reject the application and ask for fresh application.";"give an opportunity to the applicant to remove the deficiency.";"refer the application to the National Company Law Tribunal";"refer the application with its recommendation to the Insolvency and Bankruptcy Board of India.";2;"Answer: 2"
"Where a professional member has committed an offence involving moral turpitude, the disciplinary committee of the insolvency professional agency may �.";"suspend the member";"expel the member.";"Impose a monetary penalty.";"refer the matter to the Insolvency and Bankruptcy Board of India.";2;"Answer: 2"
"Which among the following is not eligible for registration as an insolvency professional under the Insolvency and Bankruptcy Board of India (Insolvency Professionals) Regulations, 2016?";"Pass in National Insolvency Examination";"Pass in Limited Insolvency Examination and Experience of 10 years in management after receiving bachelor�s degree";"Pass in Limited Insolvency Examination and Experience of 10 years as a Chartered Accountant";"Pass in Limited Insolvency Examination and Experience of 10 years as a Company Secretary";2;"Answer: 2"
"The limited period registration granted to an insolvency professional is valid for �.. months";3;6;9;12;2;"Answer: 2"
"Which of the following is not eligible to be registered as an insolvency professional entity?";"a company where majority of whole time directors are insolvency professionals";"a partnership firm where majority of partners are insolvency professionals";"a trust where majority of trustees are insolvency professionals";"a limited liability partnership firm where majority of partners are insolvency professionals";3;"Answer: 3"
"Remuneration charged by an insolvency professional need not be �.";"Transparent";"reasonable";"lowest";"disclosed to stakeholders";3;"Answer: 3"
"As per report of the Bankruptcy Law Reforms Committee, which of the following is not an objective of an insolvency and bankruptcy regime?";"Low time to resolution";"Low time loss in recovery";"Higher levels of debt financing";" Lower levels of equity financing";4;"Answer: 4"
"The Financial Sector Legislative Reforms Commission has proposed a �����which will intervene in the working of financial firms when they are distressed but still solvent.";"Financial resolution corporation";"Resolution corporation";"Insolvency resolution corporation";"Business resolution corporation";2;"Answer: 2"
"The Code proposed by the Bankruptcy Law Reforms Committee provides for a ��. for creditors and debtors to negotiate in an orderly and non-conflicted manner.";"forum";"calm peroid";"committee";"negotiation period";2;"Answer: 2"
"As per the Bankruptcy Law Reforms Committee, the process which discharges all debts if the assets and income of a debtor are under an amount specified by regulations is called ��..";"earned start";"automatic fresh start order";"insolvency resolution process";"bankruptcy process";2;"Answer: 2"
"Which of the following Acts does not deal with recovery of dues, either by financial or nonfinancial creditors?";"the Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002";"Recovery of Debts Due to Bank and Financial institutions Act, 1993";"The Contract Act, 1872";"Provincial Insolvency Act, 1920";4;"Answer: 4"
"Which of the following regulates issue of securities and the non-payment of dividend by listed companies?";"Securities and Exchange Board of India";"Central Government";"Tribunal";"Registrar";1;"Answer: 1"
"For a charge to be duly considered by the liquidator or any other creditor, it �..";"has to be duly registered.";"must have a certificate of registration.";"must be duly registered and have a certificate of registration.";"need not be registered.";3;"Answer: 3"
"The Corporate Social Responsibility Committee must have at least �. independent directors";"one";"two";"one by three";"two by three";1;"Answer: 1"
"Which of the following matters requires a special resolution by a company?";"Reducing share capital";"Removal of a director";"Acceptance of deposits";"Appointment of a director";1;"Answer: 1"
"Who ordinarily appoints registered valuers under the Companies Act, 2013?";"Audit committee of the Board";"Board of Directors of the company";"Registrar of the Companies";"Valuation committee of the Board";1;"Answer: 1"
"The President of the National Company Law Tribunal shall be a person who is or has been:";"a judge of a High Court for five years";"a judge of a High Court for three years";"a judge of a District Court for ten years";"a senior advocate";1;"Answer: 1"
"In the absence of any specific contract between the partners, a partner making, for the purposes of the business, any payment or advance beyond the amount of capital he has agreed to subscribe, is entitled to interest thereon at the rate of �.% per annum.";5;6;4.5;4;2;"Answer: 2"
"Under section 48 of the Partnership Act, 1932, the losses of the firm after dissolution shall be settled in the following manner subject to any agreement by the partners:";"Under section 48 of the Partnership Act, 1932, the losses of the firm after dissolution shall be settled in the following manner subject to any agreement by the partners:";"Loss, including deficiency of capital, shall be paid first out of profits, next out of capital and lastly, if necessary, by partners individually in proportions in which they are entitled to share profits";"Losses, including deficiency of capital, are paid by the partners individually in proportions in which they are entitled to share profits and profits and capital are to be distributed equally amongst the partners";"Losses, including deficiency of capital, are paid by the partners individually in proportions in which they are entitled to share profits and profits and capital are to be distributed in the proportion in which they are entitled to share profits.";2;"Answer: 2"
"A Limited Liability Partnership firm shall have at least �. partners.";2;3;5;7;1;"Answer: 1"
"A limited liability partnership firm shall, within a period of six months from the end of each financial year, prepare ��� for the said financial year as at the last day of the said financial year.";"statements of accounts";"statements of assets and liabilities of partners";"statements of accounts and solvency";"statements of financial accounts";3;"Answer:3"
"Which of the following is not a requirement of a contract?";"free consent of the parties";"lawful consideration";"lawful object";"a written agreement";4;"Answer: 4"
"Which of the following agreements is not void?";"agreement in restraint of marriage";"agreement in restraint of trade";"agreement in restraint of legal proceedings";"agreement caused by undue influence";4;"Answer: 4"
"A contract in which one person promises to compensate the other for the loss suffered by him, due to the conduct of the promisor or of any other person, is known as:";"Contract of indemnity";"Contract of guarantee";"Quasi-contract";" Contingent contract";1;"Answer: 1"
"Under the Transfer of Property Act, 1882, the expression �registered� pertains to";"registration of property";"registration of document";;"registration of parties";2;"Answer: 2"
"A contract for present sale of future goods under the Sale of Goods Act, 1930 operates as a/an �.";"contract of sale";"agreement to sell";"estoppe";"quasi contract of sale";2;"Answer: 2"
"Which of the following decides applications from the banks and financial institutions for recovery of debts due to them?";"Debt Recovery Tribunals";"Debt Recovery Appellate Tribunals";"Securities Appellate Tribunals";"Central Board for Direct Taxes";1;"Answer: 1"
"B Ltd. has taken a loan from A Ltd. B Ltd. will not be considered as a �borrower� under of the SARFAESI Act, 2002 in the event��.";"B Ltd. is a non-financial company";"A Ltd. is a financial company";"A Ltd. and B Ltd. are financial companies";"A Ltd. and B Ltd. are non-financial companies";4;"Answer: 4"
"Which of the following Acts have not been amended by the Insolvency and Bankruptcy Code, 2016?";"The Transfer of Property Act, 1882";"The Companies Act, 2013";"The Limited Liability Partnership Act, 2008";"The Income Tax Act, 1961";1;"Answer: 1"
"The Hon�ble Supreme Court, through its order in the matter of Mardia Chemicals Ltd. Vs. Union of India, reduced the mandatory pre-deposit for filing securitization applications from 75% to �..%";60;50;40;25;4;"Answer: 4"
"�S4A� scheme of RBI stands for ��.";"Scheme for Sustainable Structuring of Stressed Assets";"Scheme for Schematic Structuring of Stressed Assets";"Scheme for Sustainable Structuring of Systemic Assets";"Scheme for Schematic Structuring of Systemic Assets";1;"Answer: 1"
"Government of India may borrow upon the security of the �..";"Consolidated Fund of India";"Public Account of India";"Contingency Fund of India";"Contingency Fund of India";1;"Answer: 1"
"Securities and Exchange Board of India does not regulate ��";"securities";"commodity derivatives";"mutual funds";"ULIPs";4;"Answer: 4"
"The Policy Repo Rate is ---- the Reverse Repo rate";"higher than";"lower than";"equal to";"75% of";1;"Answer: 1"
"�Wages� under the Minimum Wages Act, 1948 includes ��";"house rent allowance";"value of house accommodation";"contribution by employer to any pension fund";"travelling allowance";1;"Answer: 1"
"Which of the following is not true?";"An insolvency professional must not engage in any employment.";"An insolvency professional must refrain from accepting too many assignments";"An insolvency professional must not accept gifts which undermines his independence";"An insolvency professional must not accept more than one assignment from the same corporate applicant in a year.";4;"Answer: 4"
"Balance sheet of a company does not show ��..";"what the company owns and what the company owes";"assets and liabilities of the company";"financial health of the company";"income and expenditure of the company";4;"Answer: 4"
"Basic Earnings per Share (EPS) is calculated by";"net profit / total number of shares";"(net profit �preferred dividend) / weighted average number of shares outstanding";"(net Profit - preference share capital) / Average number of shares outstanding";"(net Profit - dividend) / Total shares outstanding";2;"Answer: 2"
"Which among the following is not an essential feature of IFRS converged IND ASs (Indian Accounting Standard)?";"Applicable to separate as well as consolidated financial statement";"Give more importance to concept of substance over form";"measurement not based on time value of money";"disclosure of all relevant information and assumptions used";3;"Answer: 3"
"A firm can enhance its value by ��";"increasing working capital.";"increasing capital expenditure";"decreasing cost of capital.";"Increasing debt";3;"Answer: 3"
"Banks can freely provide Loans / Advances against ��.";"partly paid equity share of the companies";"fixed deposits of other Banks";"certificates of deposit";"minted gold coins weight up to 50 gms per customer";4;"Answer: 4"
"Can the creditors initiate SARFAESI action against the company?";"Yes, if they constitute more than 75% of the total financial debt";"Yes, with the consent of the Liquidator";"Yes, with the consent of the National Company Law Tribunal (NCLT).";"No, they cannot.";4;"Answer: 4"
"In case one of the secured creditors realises its security interest and such realization is not sufficient to pay its outstanding debts, can he recover the balance amount?";"The balance amount will be ignored.";"The balance amount will be paid at par with dues to the Central Government and the State Government";"The balance amount will be paid at par with other secured creditors";"The Balance amount will be paid at par with unsecured creditors.";2;"Answer: 2"
"In case the liquidation process is initiated, the unsecured creditor who filed an application before BIFR for impleadment shall be paid -----";"as per claim accepted by the liquidator in accordance with priorities specified in the Insolvency and Bankruptcy Code, 2016";"as per the amount of its claim before BIFR";"as per the amount of its claim made before the liquidator";"as per the order of Debt Recovery Tribunal";1;"Answer: 1"
"In case the secured creditor faces resistance from company for enforcement of security interest, such secured creditor may apply to:";"Adjudicating Authority";"Debt Recovery Tribunal";"Liquidator";"High Court";1;"Answer: 1"
"What is the priority of payment to workmen dues in case of liquidation?";"Pari passu with secured creditors and employees";"Pari passu with secured creditors and insolvency costs";"Pari passu with secured creditors";"Pari passu with financial creditors";3;"Answer: 3"
